;;;;;;;;;;;;;;;
;;;;;JOVE BV;;;;;Nixnut BV;;;;;
;;;;;Albert I laan 75/001;;;;;Prins Hendrikstraat 97;;;;;
;;;;;8670 Oostduinkerke;;;;;4835 PL Breda;;;;;
;;;;;Belgium;;;;;The Netherlands;;;;;
;;;;;;;;;;Tel. +31 (0)6 82145286;;;;;
;;;;;;;;;;https://nixnut.nl/;;;;;
;;;;;;;;;;KVK: 83141472;;;;;
;;;;;;;;;;BTW nr.: NL862747405B01;;;;;
;;;;;;;;;;IBAN: NL14INGB0006920815;;;;;
;;;;;;;;;;BIC: INGBNL2A;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
VERKOOPORDER;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ID;;18229;;;;;;;;;;;;;
Datum;;06-08-2026;;;;;;;;;;;;;
Leverdatum;;09-08-2026;;;;;;;;;;;;;
Debiteurnummer;;8678;;;;;;;;;;;;;
Betalingsvoorwaarden;;14 dagen netto;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Artikelnummer;Artikel;Kleur;Kleurnummer;Maat;Maat 2;Aantal;Inhoud;Prijs per stuk;Totaal;Adviesprijs;Barcode;Goederencode;Land van herkomst;Kwaliteit;Materialen
HA002;Newbie Hat;Off White;OFF WHITE;50/56;;2;1;7,37;14,74;16,95;8720053281516;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
HA002;Newbie Hat;Old Pink;OLD PINK;50/56;;2;1;7,37;14,74;16,95;8720053289437;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
HA002;Newbie Hat;Storm Stripe;STORM STRIPE;50/56;;2;1;7,37;14,74;16,95;8720963637151;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
HA002;Newbie Hat;Wild Green;WILD GREEN;50/56;;2;1;7,37;14,74;16,95;8720053282131;61112090;Portugal;95% GOTS organic jersey cotton, 5% elastan;95% Organic cotton, 5% Elastane
;;;;;;;;;;;;;;;
Artikelnummer;Artikel;Kleur;Kleurnummer;Maat;Maat 2;Aantal;Inhoud;Prijs per stuk;Totaal;Adviesprijs;Barcode;Goederencode;Land van herkomst;Kwaliteit;Materialen
HA003;Rib Beanie;Biscuit Stripe;BISCUIT STRIPE;50/56;;2;1;8,67;17,34;19,95;8720791956844;61112090;Portugal;95% organic rib cotton, 5% elastan;95% Organic cotton, 5% Elastane
HA003;Rib Beanie;Lychee;LYCHEE;50/56;;2;1;8,67;17,34;19,95;8720168963147;61112090;Portugal;95% organic rib cotton, 5% elastan;95% Organic cotton, 5% Elastane
;;;;;;;;;;;;;;;
Artikelnummer;Artikel;Kleur;Kleurnummer;Maat;Maat 2;Aantal;Inhoud;Prijs per stuk;Totaal;Adviesprijs;Barcode;Goederencode;Land van herkomst;Kwaliteit;Materialen
