;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;accessories;;;;;clothes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;IMG.;STYLE REF.;DESCRIPTION;COLOR;SIZE RANGE;COMPOSITION;MADE IN;ONE SIZE;0-6M;6-12M;1-3Y;3-6Y;3M;6M ;12M;18M;2Y;3Y;4Y;6Y;TOTAL PIECES;WHOLESALE PRICE (EUR);TOTAL WHOLESALE; SUGGESTED  PVP (EUR);;;;;;;;;;;;;;;;;;;;
;AW26 The Bug & the Sloth;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BABY :  From 3M to 4Y ( Organic Cotton );;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;bonnet.baby.08.01;SLOTH BONNET;MILK;0-6M / 6-12M ;100% Organic Cotton;SPAIN;;;;;;;;;;;;;;0; € 	20,00 ; € 	-   ; € 	50,00 ;;;;;;;;;;;;;;;;;;;;
2;;bonnet.baby.08.34;SLOTH BONNET;COSMIC RED;0-6M / 6-12M ;100% Organic Cotton;SPAIN;;;;;;;;;;;;;;0; € 	20,00 ; € 	-   ; € 	50,00 ;;;;;;;;;;;;;;;;;;;;
3;;bonnet.baby.08.35;SLOTH BONNET;ALGAE GREEN;0-6M / 6-12M ;100% Organic Cotton;SPAIN;;;;;;;;;;;;;;0; € 	20,00 ; € 	-   ; € 	50,00 ;;;;;;;;;;;;;;;;;;;;
4;;bonnet.baby.08.40;SLOTH BONNET;SKY LILAC;0-6M / 6-12M ;100% Organic Cotton;SPAIN;;;;;;;;;;;;;;0; € 	20,00 ; € 	-   ; € 	50,00 ;;;;;;;;;;;;;;;;;;;;
5;;booties.baby.10.01;SLOTH BOOTIE;MILK;0-6M / 6-12M ;100% Organic Cotton;SPAIN;;;;;;;;;;;;;;0; € 	18,40 ; € 	-   ; € 	46,00 ;;;;;;;;;;;;;;;;;;;;
6;;booties.baby.10.34;SLOTH BOOTIE;COSMIC RED;0-6M / 6-12M ;100% Organic Cotton;SPAIN;;;;;;;;;;;;;;0; € 	18,40 ; € 	-   ; € 	46,00 ;;;;;;;;;;;;;;;;;;;;
