"Order id";"Date";"Status";"Season";"Brand name";"Brand sales person";"Collection";"Category";"Product name";"Product reference";"Color name";"Description";"Composition";"Fabric / print";"Size family name";"Size name";"EAN13";"SKU";"Quantity";"Unit price";"Net amount";"Pre-discount amount";"Discount rate";"Currency"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Teddy";"Annuska jacket";"10.648047";"091MELANZANA";"Annuska jacket";"100% PL";"";"1M,3A,3M,4A,5A,6A,6M,8A,9M,10A,12A,12M,18M,24M";"3M";"";"";"1";"30";"30,00";"30,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Teddy";"Annuska jacket";"10.648047";"091MELANZANA";"Annuska jacket";"100% PL";"";"1M,3A,3M,4A,5A,6A,6M,8A,9M,10A,12A,12M,18M,24M";"6M";"";"";"1";"30";"30,00";"30,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Teddy";"Annuska jacket";"10.648047";"091MELANZANA";"Annuska jacket";"100% PL";"";"1M,3A,3M,4A,5A,6A,6M,8A,9M,10A,12A,12M,18M,24M";"9M";"";"";"1";"30";"30,00";"30,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Teddy";"Annuska jacket";"10.648047";"091MELANZANA";"Annuska jacket";"100% PL";"";"1M,3A,3M,4A,5A,6A,6M,8A,9M,10A,12A,12M,18M,24M";"12M";"";"";"1";"30";"30,00";"30,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Teddy";"Annuska jacket";"10.648047";"091MELANZANA";"Annuska jacket";"100% PL";"";"1M,3A,3M,4A,5A,6A,6M,8A,9M,10A,12A,12M,18M,24M";"18M";"";"";"1";"30";"30,00";"30,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Velvet";"Isotta tutina";"17.648024";"049NATURALE";"Isotta tutina";"80%CO 20%Tencel";"";"1M-24M";"3M";"";"";"1";"43";"43,00";"43,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Velvet";"Isotta tutina";"17.648024";"049NATURALE";"Isotta tutina";"80%CO 20%Tencel";"";"1M-24M";"6M";"";"";"1";"43";"43,00";"43,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Velvet";"Isotta tutina";"17.648024";"049NATURALE";"Isotta tutina";"80%CO 20%Tencel";"";"1M-24M";"9M";"";"";"1";"43";"43,00";"43,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Velvet";"Isotta tutina";"17.648024";"049NATURALE";"Isotta tutina";"80%CO 20%Tencel";"";"1M-24M";"12M";"";"";"1";"43";"43,00";"43,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Check";"Tutina Chloè NO EMBROIDERY";"17.648060";"091MelanzanaCheck";"Tutina Chloè NO EMBROIDERY";"90%CO 10%PL";"";"1M-24M";"3M";"";"";"1";"36";"36,00";"36,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Check";"Tutina Chloè NO EMBROIDERY";"17.648060";"091MelanzanaCheck";"Tutina Chloè NO EMBROIDERY";"90%CO 10%PL";"";"1M-24M";"6M";"";"";"1";"36";"36,00";"36,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Check";"Tutina Chloè NO EMBROIDERY";"17.648060";"091MelanzanaCheck";"Tutina Chloè NO EMBROIDERY";"90%CO 10%PL";"";"1M-24M";"9M";"";"";"1";"36";"36,00";"36,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Check";"Tutina Chloè NO EMBROIDERY";"17.648060";"091MelanzanaCheck";"Tutina Chloè NO EMBROIDERY";"90%CO 10%PL";"";"1M-24M";"12M";"";"";"1";"36";"36,00";"36,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Warm Cotton";"Adele tutina";"17.648090";"049NATURALE";"Adele tutina";"70%CO 20%PC 3%VI 3%PL 2%PA 2%EA";"";"1M-24M";"3M";"";"";"1";"30";"30,00";"30,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Warm Cotton";"Adele tutina";"17.648090";"049NATURALE";"Adele tutina";"70%CO 20%PC 3%VI 3%PL 2%PA 2%EA";"";"1M-24M";"6M";"";"";"1";"30";"30,00";"30,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Warm Cotton";"Adele tutina";"17.648090";"049NATURALE";"Adele tutina";"70%CO 20%PC 3%VI 3%PL 2%PA 2%EA";"";"1M-24M";"9M";"";"";"1";"30";"30,00";"30,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Warm Cotton";"Adele tutina";"17.648090";"049NATURALE";"Adele tutina";"70%CO 20%PC 3%VI 3%PL 2%PA 2%EA";"";"1M-24M";"12M";"";"";"1";"30";"30,00";"30,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Luxury Cotton";"Geraldine winter dress";"01.648124";"067Malva";"Geraldine winter dress";"100% CO";"";"1M,3A,3M,4A,5A,6A,6M,8A,9M,10A,12A,12M,18M,24M";"24M";"";"";"1";"44";"44,00";"44,00";"0";"EUR"
"3215528";"2026-02-05 14:38:17";"Confirmed";"Pre-FW26";"Babe & Tess";"Chaparal The One and Only";"FW 26";"Luxury Cotton";"Geraldine winter dress";"01.648124";"067Malva";"Geraldine winter dress";"100% CO";"";"1M,3A,3M,4A,5A,6A,6M,8A,9M,10A,12A,12M,18M,24M";"3A";"";"";"1";"47";"47,00";"47,00";"0";"EUR"
